,actual,capital,days,location,sec_type,section,time_end,time_start,title,department,full_rate,time_delta
15,40,78,MWF,ENGMC,Lecture,ECSE 308-001,9,8,Introduction to Communication Systems and Networks.,ele & comp eng,0.5128205128205128,1
16,27,78,MWF,ENGMC,Lecture,ECSE 309-001,9,8,Fundamentals of Communication Systems and Networks.,ele & comp eng,0.34615384615384615,1
17,73,78,MWF,ENGTR,Lecture,ECSE 310-001,14,13,Thermodynamics of Computing.,ele & comp eng,0.9358974358974359,1
18,18,78,TRF,ENGMD,Lecture,ECSE 316-001,10,9,Signals and Networks.,ele & comp eng,0.23076923076923078,1
19,74,90,TR,ENGMC,Lecture,ECSE 321-001,12,11,Introduction to Software Engineering.,ele & comp eng,0.8222222222222222,1
20,97,95,MTR,ENGTR,Lecture,ECSE 324-001,10,9,Computer Organization.,ele & comp eng,1.0210526315789474,1
21,53,148,MWF,ENGTR,Lecture,ECSE 325-001,13,12,Digital Systems.,ele & comp eng,0.3581081081081081,1
22,12,48,WF,ENGTR,Lecture,ECSE 330-001,15,14,Introduction to Electronics.,ele & comp eng,0.25,1
23,43,96,WF,ENGTR,Lecture,ECSE 331-001,15,14,Electronics.,ele & comp eng,0.4479166666666667,1
24,53,130,TR,ENGTR,Lecture,ECSE 334-001,14,13,Introduction to Microelectronics.,ele & comp eng,0.4076923076923077,1
25,10,78,TR,ENGTR,Lecture,ECSE 335-001,14,13,Microelectronics.,ele & comp eng,0.1282051282051282,1
26,7,25,MWF,MAASS,Lecture,ECSE 351-001,15,14,Electromagnetic Fields.,ele & comp eng,0.28,1
27,19,8,MTR,ENGTR,Lecture,ECSE 352-001,12,11,Electromagnetic Waves.,ele & comp eng,2.375,1
28,52,70,MTR,ENGTR,Lecture,ECSE 354-001,12,11,Electromagnetic Wave Propagation.,ele & comp eng,0.7428571428571429,1
29,37,28,MTR,ENGTR,Lecture,ECSE 361-001,13,12,Power Engineering.,ele & comp eng,1.3214285714285714,1
30,39,50,MTR,ENGTR,Lecture,ECSE 362-001,13,12,Fundamentals of Power Engineering.,ele & comp eng,0.78,1
31,42,100,TR,ENGTR,Lecture,ECSE 421-001,12,11,Embedded Systems.,ele & comp eng,0.42,1
32,19,25,WF,ENGTR,Lecture,ECSE 423-001,11,10,Fundamentals of Photonics.,ele & comp eng,0.76,1
33,53,62,MW,ENGTR,Lecture,ECSE 425-001,9,8,Computer Architecture.,ele & comp eng,0.8548387096774194,1
34,52,56,W,ENGTR,Lecture,ECSE 426-001,12,11,Microprocessor Systems.,ele & comp eng,0.9285714285714286,1
35,96,93,TRF,MDHAR,Lecture,ECSE 427-001,9,8,Operating Systems.,ele & comp eng,1.032258064516129,1
36,128,130,M,ENGMC,Lecture,ECSE 428-001,20,17,Software Engineering Practice.,ele & comp eng,0.9846153846153847,3
37,17,25,TR,ENGTR,Lecture,ECSE 432-001,9,8,Physical Basis: Transistor Devices.,ele & comp eng,0.68,1
38,82,89,M,ENGMC,Lecture,ECSE 434-001,17,15,Microelectronics Laboratory.,ele & comp eng,0.9213483146067416,2
39,13,25,MW,ENGTR,Lecture,ECSE 435-001,17,16,Mixed-Signal Test Techniques.,ele & comp eng,0.52,1
40,26,34,TR,ENGTR,Lecture,ECSE 436-001,9,8,Signal Processing Hardware.,ele & comp eng,0.7647058823529411,1
41,135,125,MTR,MAASS,Lecture,ECSE 443-001,11,10,Introduction to Numerical Methods in Electrical Engineering.,ele & comp eng,1.08,1
42,2,10,W,POLY,Lecture,ECSE 460-001,12,9,Appareillage électrique (Electrical Power Equipment).,ele & comp eng,0.2,3
43,0,5,W,POLY,Lecture,ECSE 460-002,12,9,Appareillage électrique (Electrical Power Equipment).,ele & comp eng,0.0,3
44,179,176,TR,ENGMC,Lecture,ECSE 461-001,11,10,Electric Machinery.,ele & comp eng,1.0170454545454546,1
45,8,15,M,POLY,Lecture,ECSE 463-001,12,9,Electric Power Generation.,ele & comp eng,0.5333333333333333,3
46,0,15,M,POLY,Lecture,ECSE 466-001,12,9,Réseaux de distribution.,ele & comp eng,0.0,3
47,0,10,T,POLY,Lecture,ECSE 467-001,12,9,Comportement des réseaux électriques.,ele & comp eng,0.0,3
48,0,5,T,POLY,Lecture,ECSE 467-002,12,9,Comportement des réseaux électriques.,ele & comp eng,0.0,3
49,3,10,T,POLY,Lecture,ECSE 468-001,12,9,Electricité industrielle (Industrial Power Systems).,ele & comp eng,0.3,3
50,0,5,T,POLY,Lecture,ECSE 468-002,12,9,Electricité industrielle (Industrial Power Systems).,ele & comp eng,0.0,3
51,0,10,R,POLY,Lecture,ECSE 469-001,12,9,Protection des réseaux électriques.,ele & comp eng,0.0,3
52,0,5,R,POLY,Lecture,ECSE 469-002,12,9,Protection des réseaux électriques.,ele & comp eng,0.0,3
53,6,25,T,ENGTR,Lecture,ECSE 485-001,10,10,IC Fabrication Laboratory.,ele & comp eng,0.24,0
54,31,39,T,ENGTR,Lecture,ECSE 486-001,17,16,Power Laboratory.,ele & comp eng,0.7948717948717948,1
55,22,20,M,ENGTR,Lecture,ECSE 493-001,13,12,Control and Robotics Laboratory.,ele & comp eng,1.1,1
56,11,30,WF,MAASS,Lecture,ECSE 506-001,9,8,Stochastic Control & Decision Theory.,ele & comp eng,0.36666666666666664,1
57,0,5,WF,MAASS,Lecture,ECSE 506-002,9,8,Stochastic Control & Decision Theory.,ele & comp eng,0.0,1
58,32,48,WF,ENGTR,Lecture,ECSE 507-001,11,10,Optimization and Optimal Control.,ele & comp eng,0.6666666666666666,1
59,12,14,WF,ENGTR,Lecture,ECSE 507-002,11,10,Optimization and Optimal Control.,ele & comp eng,0.8571428571428571,1
60,17,23,MW,BURN,Lecture,ECSE 510-001,11,10,Filtering and Prediction for Stochastic Systems.,ele & comp eng,0.7391304347826086,1
61,0,2,MW,BURN,Lecture,ECSE 510-002,11,10,Filtering and Prediction for Stochastic Systems.,ele & comp eng,0.0,1
62,4,15,TR,ENGTR,Lecture,ECSE 523-001,12,11,Speech Communications.,ele & comp eng,0.26666666666666666,1
63,1,10,TR,ENGTR,Lecture,ECSE 523-002,12,11,Speech Communications.,ele & comp eng,0.1,1
64,4,15,WF,ENGTR,Lecture,ECSE 527-001,11,10,Optical Engineering.,ele & comp eng,0.26666666666666666,1
65,2,10,WF,ENGTR,Lecture,ECSE 527-002,11,10,Optical Engineering.,ele & comp eng,0.2,1
66,2,15,MWF,ENGTR,Lecture,ECSE 535-001,14,13,Nanoelectronic Devices.,ele & comp eng,0.13333333333333333,1
67,7,10,MWF,ENGTR,Lecture,ECSE 535-002,14,13,Nanoelectronic Devices.,ele & comp eng,0.7,1
68,15,15,TR,ENGTR,Lecture,ECSE 536-001,11,10,RF Microelectronics.,ele & comp eng,1.0,1
69,12,10,TR,ENGTR,Lecture,ECSE 536-002,11,10,RF Microelectronics.,ele & comp eng,1.2,1
70,11,15,TR,ENGTR,Lecture,ECSE 563-001,12,11,Power Systems Operation and Planning.,ele & comp eng,0.7333333333333333,1
71,3,10,TR,ENGTR,Lecture,ECSE 563-002,12,11,Power Systems Operation and Planning.,ele & comp eng,0.3,1
72,9,15,TR,SH688,Lecture,ECSE 596-001,9,8,Optical Waveguides.,ele & comp eng,0.6,1
73,0,10,TR,SH688,Lecture,ECSE 596-002,9,8,Optical Waveguides.,ele & comp eng,0.0,1
74,17,28,WF,MDHAR,Lecture,ECSE 610-001,12,11,Wireless Communications.,ele & comp eng,0.6071428571428571,1
75,8,20,TR,ENGTR,Lecture,ECSE 611-001,14,12,Software Analytics.,ele & comp eng,0.4,2
76,13,18,WF,SH688,Lecture,ECSE 620-001,17,15,Information Theory and Coding.,ele & comp eng,0.7222222222222222,2
77,21,30,TR,ENGTR,Lecture,ECSE 626-001,9,8,Statistical Computer Vision.,ele & comp eng,0.7,1
78,18,25,MW,SH688,Lecture,ECSE 681-001,17,15,Colloquium in Electrical Engineering.,ele & comp eng,0.72,2
79,6,20,TR,ENGTR,Lecture,ECSE 682-001,11,10,Topics in Computers and Circuits.,ele & comp eng,0.3,1
80,8,20,MW,ENGTR,Lecture,ECSE 688-001,14,12,Recent Advances in Electrical Engineering 1.,ele & comp eng,0.4,2
